S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
JFK,New York/Newark     NY,*,Buffalo             NY,1.01,3,No,No,4040.093943,32991,23184,8621121,1173217,Controlled,Free,291,12432,134.3
LGA,New York/Newark     NY,*,Buffalo             NY,1.01,3,No,No,4040.093943,32991,23184,8621121,1173217,Controlled,Free,291,12432,134.3
EWR,New York/Newark     NY,*,Buffalo             NY,1.01,3,No,No,4040.093943,32991,23184,8621121,1173217,Free,Constrained,291,12432,134.3
JFK,New York/Newark     NY,*,Charleston          SC,1.34,0,No,No,2587.886458,32991,18851,8621121,254153,Controlled,Free,637,6003,118.95
LGA,New York/Newark     NY,*,Charleston          SC,1.34,3,No,No,2587.886458,32991,18851,8621121,254153,Controlled,Free,637,6003,118.95
EWR,New York/Newark     NY,*,Charleston          SC,1.34,1,No,No,2587.886458,32991,18851,8621121,254153,Free,Constrained,637,6003,118.95
*,Atlanta             GA,*,Charlotte           NC,1.01,3,No,No,4435.920971,26993,25237,3532657,1318892,Free,Constrained,227,7335,97.96
*,Boston              MA,*,Charlotte           NC,1.25,3,No,No,8589.167342,30124,25237,5787293,1318892,Free,Constrained,722,3263,237.8
ORD,Chicago             IL,*,Charlotte           NC,1.16,3,No,No,4523.314188,29260,25237,7830332,1318892,Controlled,Constrained,589,5153,234.15
MDW,Chicago             IL,*,Charlotte           NC,1.16,3,No,No,4523.314188,29260,25237,7830332,1318892,Free,Constrained,589,5153,234.15
*,Dallas/Fort Worth   TX,*,Charlotte           NC,1.14,3,No,No,4439.862612,28637,25237,3036732,1318892,Free,Constrained,940,4493,203.17
JFK,New York/Newark     NY,*,Charlotte           NC,1.12,3,No,No,8714.026298,32991,25237,8621121,1318892,Controlled,Constrained,539,9305,250.73
LGA,New York/Newark     NY,*,Charlotte           NC,1.12,3,No,No,8714.026298,32991,25237,8621121,1318892,Controlled,Constrained,539,9305,250.73
EWR,New York/Newark     NY,*,Charlotte           NC,1.12,3,No,No,8714.026298,32991,25237,8621121,1318892,Free,Constrained,539,9305,250.73
*,Atlanta             GA,ORD,Chicago             IL,1.04,3,No,No,2712.373604,26993,29260,3532657,7830332,Controlled,Free,595,30877,106.6
*,Atlanta             GA,MDW,Chicago             IL,1.04,3,No,No,2712.373604,26993,29260,3532657,7830332,Free,Free,595,30877,106.6
*,Austin              TX,ORD,Chicago             IL,1.25,3,No,Yes,4417.156661,23665,29260,1038660,7830332,Controlled,Free,974,4980,136.27
*,Austin              TX,MDW,Chicago             IL,1.25,3,No,Yes,4417.156661,23665,29260,1038660,7830332,Free,Free,974,4980,136.27
*,Boston              MA,ORD,Chicago             IL,1.15,1,No,No,3977.225847,30124,29260,5787293,7830332,Controlled,Free,854,20718,230.87
*,Boston              MA,MDW,Chicago             IL,1.15,3,No,No,3977.225847,30124,29260,5787293,7830332,Free,Free,854,20718,230.87
*,Cincinnati          OH,ORD,Chicago             IL,1.01,3,No,No,3910.806542,25059,29260,1595139,7830332,Controlled,Constrained,254,7069,180.56
*,Cincinnati          OH,MDW,Chicago             IL,1.01,0,No,No,3910.806542,25059,29260,1595139,7830332,Free,Constrained,254,7069,180.56
*,Atlanta             GA,*,Cincinnati          OH,1.16,3,No,No,9350.126412,26993,25059,3532657,1595139,Free,Constrained,371,3892,215.83
*,Atlanta             GA,*,Cleveland           OH,1.12,3,No,No,4478.867091,26993,26046,3532657,2915745,Free,Free,561,4821,197.1
ORD,Chicago             IL,*,Cleveland           OH,1.01,3,No,Yes,2800.90554,29260,26046,7830332,2915745,Controlled,Free,316,24405,69.1
MDW,Chicago             IL,*,Cleveland           OH,1.01,1,No,Yes,2800.90554,29260,26046,7830332,2915745,Free,Free,316,24405,69.1
*,Dallas/Fort Worth   TX,*,Colorado Springs    CO,1.06,3,No,No,5110.53773,28637,22263,3036732,472254,Free,Free,592,6098,91.83
*,Houston             TX,*,Colorado Springs    CO,1.19,3,No,No,4037.088979,27211,22263,3770125,472254,Free,Free,817,4281,111.66
*,Las Vegas           NV,*,Colorado Springs    CO,1.16,3,Yes,No,3465.136552,24575,22263,1197234,472254,Free,Free,602,8810,57.62
*,Los Angeles         CA,*,Colorado Springs    CO,1.36,3,No,No,4384.631971,24706,22263,9056076,472254,Free,Free,833,5762,104.72
JFK,New York/Newark     NY,*,Colorado Springs    CO,1.36,3,No,No,2421.039215,32991,22263,8621121,472254,Controlled,Free,1636,5185,154.74
LGA,New York/Newark     NY,*,Colorado Springs    CO,1.36,3,No,No,2421.039215,32991,22263,8621121,472254,Controlled,Free,1636,5185,154.74
EWR,New York/Newark     NY,*,Colorado Springs    CO,1.36,3,No,No,2421.039215,32991,22263,8621121,472254,Free,Constrained,1636,5185,154.74
*,Phoenix             AZ,*,Colorado Springs    CO,1.09,3,No,No,4351.313269,23025,22263,2753373,472254,Free,Free,550,7599,77.98
IAD,Washington          DC,*,Colorado Springs    CO,1.68,3,No,No,2661.534147,31981,22263,4549784,472254,Free,Free,1476,4945,157.2
DCA,Washington          DC,*,Colorado Springs    CO,1.68,3,No,No,2661.534147,31981,22263,4549784,472254,Controlled,Free,1476,4945,157.2
*,Atlanta             GA,*,Columbus            OH,1.13,3,No,No,5356.506862,26993,24502,3532657,1442203,Free,Free,445,6075,113.2
*,Boston              MA,*,Columbus            OH,1.22,3,No,No,3789.64015,30124,24502,5787293,1442203,Free,Free,633,4758,143.59
ORD,Chicago             IL,*,Columbus            OH,1.01,3,No,Yes,2668.203414,29260,24502,7830332,1442203,Controlled,Free,286,14516,75.07
MDW,Chicago             IL,*,Columbus            OH,1.01,0,No,Yes,2668.203414,29260,24502,7830332,1442203,Free,Free,286,14516,75.07
*,Albuquerque         NM,*,Dallas/Fort Worth   TX,1.02,3,No,Yes,5222.299347,22089,28637,668159,3036732,Free,Free,573,10941,84.46
*,Atlanta             GA,*,Dallas/Fort Worth   TX,1.05,3,No,No,4624.896004,26993,28637,3532657,3036732,Free,Free,734,23075,113.99
*,Austin              TX,*,Dallas/Fort Worth   TX,1,3,No,Yes,5502.333763,23665,28637,1038660,3036732,Free,Free,184,18843,67.17
*,Boston              MA,*,Dallas/Fort Worth   TX,1.19,3,No,No,5605.055738,30124,28637,5787293,3036732,Free,Free,1559,8756,320.37
ORD,Chicago             IL,*,Dallas/Fort Worth   TX,1.14,3,No,No,6205.96649,29260,28637,7830332,3036732,Controlled,Free,805,20264,244.5
MDW,Chicago             IL,*,Dallas/Fort Worth   TX,1.14,3,No,No,6205.96649,29260,28637,7830332,3036732,Free,Free,805,20264,244.5
*,Corpus Christi      TX,*,Dallas/Fort Worth   TX,1.02,3,No,Yes,4386.552721,18933,28637,382155,3036732,Free,Free,354,5391,78.62
*,Atlanta             GA,*,Denver              CO,1.23,3,No,No,4202.658977,26993,29055,3532657,1862106,Free,Free,1200,7621,210.9
*,Boston              MA,*,Denver              CO,1.35,3,No,No,6140.914486,30124,29055,5787293,1862106,Free,Free,1755,5820,311.46
ORD,Chicago             IL,*,Denver              CO,1.08,3,No,No,5792.282889,29260,29055,7830332,1862106,Controlled,Free,902,16263,174.06
MDW,Chicago             IL,*,Denver              CO,1.08,3,No,No,5792.282889,29260,29055,7830332,1862106,Free,Free,902,16263,174.06
*,Dallas/Fort Worth   TX,*,Denver              CO,1.06,3,No,No,4157.610917,28637,29055,3036732,1862106,Free,Free,638,11298,155.81
*,Atlanta             GA,*,Detroit             MI,1.05,3,No,No,4312.946371,26993,26506,3532657,4459144,Free,Constrained,600,12752,106.56
*,Boston              MA,*,Detroit             MI,1.06,3,No,No,8162.766577,30124,26506,5787293,4459144,Free,Constrained,616,10358,110.42
ORD,Chicago             IL,*,Detroit             MI,1,3,No,Yes,3059.779377,29260,26506,7830332,4459144,Controlled,Constrained,237,34113,74.28
MDW,Chicago             IL,*,Detroit             MI,1,3,No,Yes,3059.779377,29260,26506,7830332,4459144,Free,Constrained,237,34113,74.28
*,Dallas/Fort Worth   TX,*,Detroit             MI,1.22,3,No,No,4033.323101,28637,26506,3036732,4459144,Free,Constrained,1001,6401,245.28
*,Denver              CO,*,Detroit             MI,1.21,3,No,No,4213.707596,29055,26506,1862106,4459144,Free,Constrained,1139,3851,256.48
*,Dallas/Fort Worth   TX,*,El Paso             TX,1.02,3,No,Yes,5063.074129,28637,14600,3036732,677757,Free,Free,548,10989,84.23
*,Atlanta             GA,*,Fort Lauderdale     FL,1.02,3,Yes,No,7032.265309,26993,26752,3532657,1440377,Free,Free,578,11425,105.1
*,Boston              MA,*,Fort Lauderdale     FL,1.27,3,Yes,No,2682.544585,30124,26752,5787293,1440377,Free,Free,1229,10483,121.09
ORD,Chicago             IL,*,Fort Lauderdale     FL,1.15,3,Yes,Yes,2482.763847,29260,26752,7830332,1440377,Controlled,Free,1168,10117,153.95
MDW,Chicago             IL,*,Fort Lauderdale     FL,1.15,3,Yes,Yes,2482.763847,29260,26752,7830332,1440377,Free,Free,1168,10117,153.95
*,Dallas/Fort Worth   TX,*,Fort Lauderdale     FL,1.16,3,Yes,No,4677.028852,28637,26752,3036732,1440377,Free,Free,1118,3402,207.84
*,Detroit             MI,*,Fort Lauderdale     FL,1.17,3,Yes,No,4681.680729,26506,26752,4459144,1440377,Free,Constrained,1128,6103,113.39
*,Boston              MA,*,Fort Meyers         FL,1.47,3,Yes,No,2565.518087,30124,26752,5787293,379566,Free,Free,1245,6390,126.62
ORD,Chicago             IL,*,Fort Meyers         FL,1.2,3,Yes,No,3247.314249,29260,26752,7830332,379566,Controlled,Free,1108,7196,136.68
MDW,Chicago             IL,*,Fort Meyers         FL,1.2,3,Yes,No,3247.314249,29260,26752,7830332,379566,Free,Free,1108,7196,136.68
*,Detroit             MI,*,Fort Meyers         FL,1.13,3,Yes,No,4516.900078,26506,26752,4459144,379566,Free,Constrained,1088,7049,108.15
JFK,New York/Newark     NY,*,Greensboro/High Pt  NC,1.07,3,No,No,4840.48312,32991,24348,8621121,111745,Controlled,Free,457,7574,180.85
LGA,New York/Newark     NY,*,Greensboro/High Pt  NC,1.07,3,No,No,4840.48312,32991,24348,8621121,111745,Controlled,Free,457,7574,180.85
EWR,New York/Newark     NY,*,Greensboro/High Pt  NC,1.07,3,No,No,4840.48312,32991,24348,8621121,111745,Free,Constrained,457,7574,180.85
*,Atlanta             GA,*,Hartford            CT,1.34,3,No,No,5137.408727,26993,30268,3532657,1106780,Free,Free,854,5806,175.81
ORD,Chicago             IL,*,Hartford            CT,1.13,3,No,No,4146.133542,29260,30268,7830332,1106780,Controlled,Free,779,6614,240.88
MDW,Chicago             IL,*,Hartford            CT,1.13,3,No,No,4146.133542,29260,30268,7830332,1106780,Free,Free,779,6614,240.88
*,Las Vegas           NV,*,Honolulu (Intl)     HI,1.56,3,Yes,No,3135.144092,24575,26681,1197234,873131,Free,Free,2764,6462,183.19
*,Los Angeles         CA,*,Honolulu (Intl)     HI,1.03,3,Yes,No,1706.891974,24706,26681,9056076,873131,Free,Free,2555,32824,167.16
*,San Francisco       CA,*,Honolulu (Intl)     HI,1.04,3,Yes,No,2447.141781,38813,26681,1653017,873131,Free,Free,2401,19055,177.09
*,Seattle/Tacoma      WA,*,Honolulu (Intl)     HI,1.29,3,Yes,No,3333.109325,30916,26681,2230831,873131,Free,Free,2679,6464,221.89
*,Atlanta             GA,*,Houston             TX,1.19,3,No,No,4468.800676,26993,27211,3532657,3770125,Free,Free,701,7201,233.16
*,Austin              TX,*,Houston             TX,1,3,No,Yes,6269.394719,23665,27211,1038660,3770125,Free,Free,138,9874,67.1
*,Boston              MA,*,Houston             TX,1.41,3,No,No,5497.259041,30124,27211,5787293,3770125,Free,Free,1605,4272,349.97
ORD,Chicago             IL,*,Houston             TX,1.09,3,No,Yes,2572.41906,29260,27211,7830332,3770125,Controlled,Free,939,16868,139.56
MDW,Chicago             IL,*,Houston             TX,1.09,3,No,Yes,2572.41906,29260,27211,7830332,3770125,Free,Free,939,16868,139.56
*,Cleveland           OH,*,Houston             TX,1.31,3,No,Yes,6172.951609,26046,27211,2230955,3770125,Free,Free,1117,4057,191.63
*,Corpus Christi      TX,*,Houston             TX,1,3,No,Yes,5826.135729,18933,27211,382155,3770125,Free,Free,184,5312,65.31
*,Dallas/Fort Worth   TX,*,Houston             TX,1,3,No,Yes,4992.627423,28637,27211,3036732,3770125,Free,Free,234,54429,67.78
*,Denver              CO,*,Houston             TX,1.14,3,No,No,4103.102495,29055,27211,1862106,3770125,Free,Free,866,5860,204.68
*,Detroit             MI,*,Houston             TX,1.19,3,No,Yes,3649.802349,26506,27211,4459144,3770125,Free,Constrained,1102,4660,177.22
*,Atlanta             GA,*,Indianapolis        IN,1.12,3,No,No,5180.127619,26993,25475,3532657,1489247,Free,Free,430,5378,109.78
ORD,Chicago             IL,*,Indianapolis        IN,1,3,No,Yes,3702.182637,29260,25475,7830332,1489247,Controlled,Free,167,9355,62.63
MDW,Chicago             IL,*,Indianapolis        IN,1,0,No,Yes,3702.182637,29260,25475,7830332,1489247,Free,Free,167,9355,62.63
*,Detroit             MI,*,Indianapolis        IN,1.11,3,No,Yes,8437.667086,26506,25475,4459144,1489247,Free,Constrained,241,4790,169.58
*,Fort Meyers         FL,*,Indianapolis        IN,1.21,3,Yes,No,6134.258156,24510,25475,379566,1489247,Free,Free,943,3624,105.73
*,Las Vegas           NV,*,Indianapolis        IN,1.34,3,Yes,No,2883.653178,24575,25475,1197234,1489247,Free,Free,1588,7406,114.13
*,Los Angeles         CA,*,Indianapolis        IN,1.52,3,No,No,1787.71117,24706,25475,9056076,1489247,Free,Free,1815,5869,153.5
JFK,New York/Newark     NY,*,Indianapolis        IN,1.27,0,No,No,3543.340079,32991,25475,8621121,1489247,Controlled,Free,657,7109,195.64
LGA,New York/Newark     NY,*,Indianapolis        IN,1.27,3,No,No,3543.340079,32991,25475,8621121,1489247,Controlled,Free,657,7109,195.64
EWR,New York/Newark     NY,*,Indianapolis        IN,1.27,3,No,No,3543.340079,32991,25475,8621121,1489247,Free,Constrained,657,7109,195.64
*,Orlando             FL,*,Indianapolis        IN,1.24,3,Yes,Yes,3009.476387,22360,25475,1421287,1489247,Free,Free,828,7675,97.36
*,Phoenix             AZ,*,Indianapolis        IN,1.27,3,No,Yes,3446.749658,23025,25475,2753373,1489247,Free,Free,1491,5100,138.08
*,San Francisco       CA,*,Indianapolis        IN,1.71,3,No,No,1892.369111,38813,25475,1653017,1489247,Free,Free,1941,3814,157.45
*,Tampa               FL,*,Indianapolis        IN,1.28,3,Yes,Yes,3076.530483,23654,25475,2195215,1489247,Free,Free,844,5160,99.43
*,Atlanta             GA,*,Jacksonville        FL,1,3,Yes,No,5963.75302,26993,23614,3532657,1008768,Free,Free,280,8571,87.59
ORD,Chicago             IL,*,Jacksonville        FL,1.45,3,Yes,No,3198.811521,29260,23614,7830332,1008768,Controlled,Free,865,3789,158.63
MDW,Chicago             IL,*,Jacksonville        FL,1.45,3,Yes,No,3198.811521,29260,23614,7830332,1008768,Free,Free,865,3789,158.63
*,Fort Lauderdale     FL,*,Jacksonville        FL,1.01,3,Yes,No,3305.698178,26752,23614,1440377,1008768,Free,Free,303,1859,114.93
*,Atlanta             GA,*,Kansas City         MO,1.11,0,No,No,6722.008778,26993,25450,3532657,1694803,Free,Free,685,6426,116.18
ORD,Chicago             IL,*,Kansas City         MO,1.04,3,No,Yes,3296.049512,29260,25450,7830332,1694803,Controlled,Free,407,20529,75.71
MDW,Chicago             IL,*,Kansas City         MO,1.04,0,No,Yes,3296.049512,29260,25450,7830332,1694803,Free,Free,407,20529,75.71
*,Dallas/Fort Worth   TX,*,Kansas City         MO,1.2,3,No,No,7520.085442,28637,25450,3036732,1694803,Free,Free,458,9381,116.57
*,Denver              CO,*,Kansas City         MO,1.02,3,No,No,5505.791153,29055,25450,1862106,1694803,Free,Free,541,7679,110.25
*,Detroit             MI,*,Kansas City         MO,1.31,3,No,Yes,5569.746732,26506,25450,4459144,1694803,Free,Constrained,639,4987,123.27
*,Houston             TX,*,Kansas City         MO,1.08,2,No,Yes,4343.848698,27211,25450,3770125,1694803,Free,Free,652,4649,127.78
*,Las Vegas           NV,*,Kansas City         MO,1.39,0,Yes,Yes,2844.240054,24575,25450,1197234,1694803,Free,Free,1140,8309,78.24
*,Los Angeles         CA,*,Kansas City         MO,1.31,2,No,Yes,1843.517891,24706,25450,9056076,1694803,Free,Free,1365,7959,116
*,Albuquerque         NM,*,Las Vegas           NV,1.08,0,Yes,Yes,7641.728632,22089,24575,668159,1197234,Free,Free,479,7170,72.43
*,Atlanta             GA,*,Las Vegas           NV,1.44,3,Yes,No,4112.438959,26993,24575,3532657,1197234,Free,Free,1744,7881,143.62
*,Austin              TX,*,Las Vegas           NV,1.35,3,Yes,Yes,3757.25253,23665,24575,1038660,1197234,Free,Free,1087,5738,80.31
*,Boston              MA,*,Las Vegas           NV,1.49,3,Yes,No,1833.954846,30124,24575,5787293,1197234,Free,Free,2372,10235,133.35
*,Burbank             CA,*,Las Vegas           NV,1,3,Yes,Yes,9592.991435,24706,24575,9056076,1197234,Free,Free,226,16845,52.92
ORD,Chicago             IL,*,Las Vegas           NV,1.15,3,Yes,Yes,2044.210288,29260,24575,7830332,1197234,Controlled,Free,1519,23739,123.74
MDW,Chicago             IL,*,Las Vegas           NV,1.15,3,Yes,Yes,2044.210288,29260,24575,7830332,1197234,Free,Free,1519,23739,123.74
*,Cleveland           OH,*,Las Vegas           NV,1.36,0,Yes,Yes,4070.447532,26046,24575,2230955,1197234,Free,Free,1831,4543,159.12
*,Columbus            OH,*,Las Vegas           NV,1.42,3,Yes,No,4956.577531,24502,24575,125722,1197234,Free,Free,1769,7231,115.84
*,Dallas/Fort Worth   TX,*,Las Vegas           NV,1.16,3,Yes,No,4446.514122,28637,24575,3036732,1197234,Free,Free,1052,6986,164.88
*,Denver              CO,*,Las Vegas           NV,1.13,3,Yes,No,3760.095415,29055,24575,1862106,1197234,Free,Free,618,10206,89.47
*,Detroit             MI,*,Las Vegas           NV,1.19,3,Yes,No,5307.269665,26506,24575,4459144,1197234,Free,Constrained,1756,6675,163.78
*,Houston             TX,*,Las Vegas           NV,1.18,3,Yes,Yes,3690.131223,27211,24575,3770125,1197234,Free,Free,1222,9632,112.99
*,Los Angeles         CA,*,Las Vegas           NV,1,0,Yes,Yes,2522.008294,24706,24575,9056076,1197234,Free,Free,238,51358,55.57
*,Los Angeles         CA,*,Las Vegas           NV,1,0,Yes,Yes,2522.008294,24706,24575,9056076,1197234,Free,Free,238,51358,55.57
*,Dallas/Fort Worth   TX,*,Little Rock         AR,1,3,No,Yes,5293.048369,28637,22726,3036732,547633,Free,Free,308,10451,59.77
*,Albuquerque         NM,*,Los Angeles         CA,1.09,3,No,Yes,4935.716503,22089,24706,668159,9056076,Free,Free,673,11980,76.79
*,Atlanta             GA,*,Los Angeles         CA,1.38,3,No,No,5465.97804,26993,24706,3532657,9056076,Free,Free,1946,13365,225.56
*,Boston              MA,*,Los Angeles         CA,1.35,3,No,No,2902.44082,30124,24706,5787293,9056076,Free,Free,2605,14737,301.79
ORD,Chicago             IL,*,Los Angeles         CA,1.19,3,No,No,3413.419799,29260,24706,7830332,9056076,Controlled,Free,1751,29771,233.78
MDW,Chicago             IL,*,Los Angeles         CA,1.19,3,No,No,3413.419799,29260,24706,7830332,9056076,Free,Free,1751,29771,233.78
*,Cleveland           OH,*,Los Angeles         CA,1.56,3,No,No,3300.076533,26046,24706,2230955,9056076,Free,Free,2062,4531,231.97
*,Columbus            OH,*,Los Angeles         CA,1.92,3,No,No,1550.158225,24502,24706,125722,9056076,Free,Free,1996,3542,179.23
*,Dallas/Fort Worth   TX,*,Los Angeles         CA,1.2,3,No,No,5976.023657,28637,24706,3036732,9056076,Free,Free,1234,9746,272.06
*,Denver              CO,*,Los Angeles         CA,1.1,3,No,No,6589.490736,29055,24706,1862106,9056076,Free,Free,854,20889,129.8
*,Detroit             MI,*,Los Angeles         CA,1.52,3,No,No,4289.780549,26506,24706,4459144,9056076,Free,Constrained,1988,6758,295.49
*,Fort Lauderdale     FL,*,Los Angeles         CA,1.27,3,Yes,No,3472.166007,26752,24706,1440377,9056076,Free,Free,2341,4719,193.5
*,Houston             TX,*,Los Angeles         CA,1.27,3,No,Yes,3942.830285,27211,24706,3770125,9056076,Free,Free,1379,11760,195.28
*,Atlanta             GA,*,Louisville          KY,1.04,3,No,No,5450.852845,26993,24307,3532657,989164,Free,Free,320,4562,101.68
*,Baltimore/Wash Intl MD,*,Louisville          KY,1.13,3,No,Yes,4655.179181,29838,24307,29838,989164,Free,Free,495,6218,60.26
ORD,Chicago             IL,*,Louisville          KY,1.02,3,No,Yes,4109.874328,29260,24307,7830332,989164,Controlled,Free,276,8793,68.06
MDW,Chicago             IL,*,Louisville          KY,1.02,3,No,Yes,4109.874328,29260,24307,7830332,989164,Free,Free,276,8793,68.06
*,Dallas/Fort Worth   TX,*,Lubbock             TX,1,3,No,Yes,6337.199459,28637,20980,3036732,231325,Free,Free,283,9446,60.87
*,Atlanta             GA,*,Memphis             TN,1.01,3,No,No,4988.825966,26993,24725,3532657,1074558,Free,Free,331,10255,70.62
*,Atlanta             GA,*,Miami               FL,1.01,1,Yes,No,4343.346033,26993,21207,3532657,2105604,Free,Free,595,14119,97.93
*,Boston              MA,*,Miami               FL,1.24,3,Yes,No,4133.349424,30124,21207,5787293,2105604,Free,Free,1259,7322,158.5
ORD,Chicago             IL,*,Miami               FL,1.15,3,Yes,No,3947.243372,29260,21207,7830332,2105604,Controlled,Free,1187,10671,168.92
MDW,Chicago             IL,*,Miami               FL,1.15,0,Yes,No,3947.243372,29260,21207,7830332,2105604,Free,Free,1187,10671,168.92
*,Dallas/Fort Worth   TX,*,Miami               FL,1.16,3,Yes,No,5772.858435,28637,21207,3036732,2105604,Free,Free,1116,4613,185.11
*,Detroit             MI,*,Miami               FL,1.17,3,Yes,No,6140.526487,26506,21207,4459144,2105604,Free,Constrained,1151,5064,133.98
*,Los Angeles         CA,*,Miami               FL,1.21,3,Yes,No,4567.200472,24706,21207,9056076,2105604,Free,Free,2336,11193,207.83
*,Las Vegas           NV,*,Milwaukee           WI,1.42,3,Yes,No,2796.603509,24575,26695,1197234,1646147,Free,Free,1521,2963,146.36
JFK,New York/Newark     NY,*,Milwaukee           WI,1.29,3,No,No,6108.572283,32991,26695,8621121,1646147,Controlled,Free,736,6590,190.09
LGA,New York/Newark     NY,*,Milwaukee           WI,1.29,3,No,No,6108.572283,32991,26695,8621121,1646147,Controlled,Free,736,6590,190.09
EWR,New York/Newark     NY,*,Milwaukee           WI,1.29,1,No,No,6108.572283,32991,26695,8621121,1646147,Free,Constrained,736,6590,190.09
*,Orlando             FL,*,Milwaukee           WI,1.49,3,Yes,No,2985.423047,22360,26695,1421287,1646147,Free,Free,1066,6935,104.87
*,Phoenix             AZ,*,Milwaukee           WI,1.36,3,No,No,3146.68289,23025,26695,2753373,1646147,Free,Free,1461,4879,154.06
*,Atlanta             GA,*,Minneapolis/St Paul MN,1.17,3,No,No,4317.659343,26993,28739,3532657,2761118,Free,Constrained,904,5578,269.43
*,Boston              MA,*,Minneapolis/St Paul MN,1.18,3,No,No,7702.881936,30124,28739,5787293,2761118,Free,Constrained,1114,7276,258.85
